OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
Progress in Nutrition;1129-8723;1129-8723;;;;IT;;Progress in Nutrition;1129-8723;-;"2916; 1106;";;;;;;;
Progress in Palliative Care;0969-9260;1743-291X;;;Maney Publishing;GB;C159110408;Progress in Palliative Care;0969-9260;-;"2700; 2900;";PROGRESS IN PALLIATIVE CARE;0969-9260;1743-291X;Public, Environmental & Occupational Health;;;
Progress in Transplantation;2164-6708;1526-9248;;;SAGE Publishing;US;C159110408;Progress in Transplantation;1526-9248;2164-6708;"2747;";PROGRESS IN TRANSPLANTATION;1526-9248;2164-6708;Surgery | Transplantation;;;
Promoting health;0272-9709;;;;;US;C159110408;;;;;;;;;;;
Promotion & Education;1756-3976;1025-3823;;;SAGE Publishing;GB;C159110408;;;;;;;;;;;
Psicología conductual;1132-9483;;;;;ES;C159110408;Psicologia Conductual;1132-9483;-;"3203; 3205;";BEHAVIORAL PSYCHOLOGY-PSICOLOGIA CONDUCTUAL;1132-9483;1132-9483;Psychology, Clinical;;;
Psicooncología (Pozuelo de Alarcón);1696-7240;1988-8287;;;Complutense University of Madrid;ES;C159110408;Psicooncologia;1696-7240;-;"3203; 2730;";;;;;Psicooncologia;1696-7240;1988-8287
Psihiatru.ro;1841-4877;2066-821X;;;;RO;C159110408;;;;;;;;;Psihiatru.ro;1841-4877;2066-821X
Psihosomatična medicina ta zagalʹna praktika;2519-8572;;;;"Private Publisher ""Chaban O.S.""";UA;C159110408;;;;;;;;;;;
Psikiyatri hemşireliği dergisi;1309-3568;2149-374X;;;;TR;C159110408;Journal of Psychiatric Nursing;1309-3568;2149-374X;"2902; 2738; 2921;";JOURNAL OF PSYCHIATRIC NURSING;2149-374X;2149-374X;Psychiatry;Psikiyatri Hemşireliği Dergisi;1309-3568;2149-374X
Psychiatria Danubina;0353-5053;1849-0867;;;Medicinska naklada, Zagreb;HR;C159110408;Psychiatria Danubina;0353-5053;-;"2738; 2700;";;;;;;;
Psychiatric Quarterly;0033-2720;1573-6709;;;Springer Science+Business Media;US;C159110408;Psychiatric Quarterly;0033-2720;1573-6709;"2738;";PSYCHIATRIC QUARTERLY;0033-2720;1573-6709;Psychiatry;;;
Psychiatric Rehabilitation Journal;1095-158X;1559-3126;;;American Psychological Association;US;C159110408;Psychiatric Rehabilitation Journal;1095-158X;-;"2738; 2742; 3601;";PSYCHIATRIC REHABILITATION JOURNAL;1095-158X;1559-3126;Psychiatry | Rehabilitation;;;
Psychiatric Rehabilitation Skills;1097-3435;2331-3447;;;Taylor & Francis;US;C159110408;;;;;;;;;;;
Psychiatric research and clinical practice;2575-5609;;;;Wiley-Blackwell;US;C159110408;;;;;;;;;Psychiatric Research and Clinical Practice;;2575-5609
Psychiatric Services;1557-9700;1075-2730;;;American Psychiatric Association;US;C159110408;Psychiatric Services;1075-2730;-;"2738;";PSYCHIATRIC SERVICES;1075-2730;1557-9700;Public, Environmental & Occupational Health | Psychiatry;;;
Psychiatrikī;1105-2333;;;;;GR;C159110408;Psychiatrike = Psychiatriki;1105-2333;-;"2700;";;;;;;;
Psychiatry;1878-7592;1476-1793;;;Elsevier BV;NL;C159110408;;;;;;;;;;;
Psychiatry (Edgmont (Pa. : Township));1550-5952;;;;;US;C159110408;;;;;;;;;;;
Psychiatry in medicine;0033-278X;;;;Greenwood Publishing Group;US;C159110408;;;;;;;;;;;
Psychiatry international;2673-5318;;;;MDPI;CH;C159110408;;;;;;;;;Psychiatry International;;2673-5318
Psychiatry Nursing Journal (Jurnal Keperawatan Jiwa);2656-3894;2656-4637;;;;ID;C159110408;;;;;;;;;Psychiatry Nursing Journal;2656-3894;2656-4637
Psychiatry update;2524-8316;2524-8324;;;Springer International Publishing;CH;C159110408;;;;;;;;;;;
Psychogeriatrics;1346-3500;1479-8301;1346-3500;;Wiley-Blackwell;GB;;Psychogeriatrics;1346-3500;1479-8301;"2738; 2717; 2909;";PSYCHOGERIATRICS;1346-3500;1479-8301;Geriatrics & Gerontology | Psychiatry;;;
Psychological Disorders and Research;2674-2470;;;;;EE;C159110408;;;;;;;;;;;
Psychological Injury and Law;1938-971X;1938-9728;;;Springer Science+Business Media;US;C159110408;Psychological Injury and Law;1938-971X;1938-9728;"3308; 2738;";PSYCHOLOGICAL INJURY & LAW;1938-971X;1938-9728;Psychology, Clinical;;;
Psychological Services;1541-1559;1939-148X;;;American Psychological Association;US;C159110408;Psychological Services;1541-1559;-;"3202; 3203;";PSYCHOLOGICAL SERVICES;1541-1559;1939-148X;Psychology, Clinical;;;
Psychology & Health;1476-8321;0887-0446;;;Taylor & Francis;CH;C159110408;Psychology and Health;0887-0446;-;"2739; 3202;";PSYCHOLOGY & HEALTH;0887-0446;1476-8321;Public, Environmental & Occupational Health | Psychology, Multidisciplinary;;;
Psychology Health & Medicine;1465-3966;1354-8506;;;Taylor & Francis;GB;C159110408;Psychology, Health and Medicine;1354-8506;1465-3966;"2738; 3202; 3203;";PSYCHOLOGY HEALTH & MEDICINE;1354-8506;1465-3966;Public, Environmental & Occupational Health;;;
Psychology of well-being;2211-1522;;;;Springer Nature;NL;C159110408;;;;;;;;;;;
Psychology Research and Behavior Management;1179-1578;;;;Dove Medical Press;NZ;C159110408;Psychology Research and Behavior Management;1179-1578;-;"2738; 3200;";PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT;1179-1578;1179-1578;Psychology, Clinical | Psychology, Multidisciplinary;Psychology Research and Behavior Management;;1179-1578
Psychology Science Quarterly;1866-6140;;;;Pabst Science Publishers;DE;C159110408;;;;;;;;;;;
Psychology, community & health;2182-438X;;;;PsychOpen;PT;C159110408;;;;;;;;;;;
Psycho-oncologie;1778-3798;1778-3798;1778-381X;;Springer Science+Business Media;FR;;Psycho-Oncologie;1778-3798;1778-381X;"2738; 2917; 3203; 2730;";PSYCHO-ONCOLOGIE;1778-3798;1778-381X;Oncology | Psychology;;;
Psycho-oncology;1099-1611;1057-9249;;;Wiley;GB;C159110408;Psycho-Oncology;1057-9249;1099-1611;"2738; 2730; 3205;";PSYCHO-ONCOLOGY;1057-9249;1099-1611;Oncology | Psychology;;;
Psychotherapy in private practice;0731-7158;;;;Haworth Press;US;C159110408;;;;;;;;;;;
PTB reports;2395-4736;;;;;IN;C159110408;;;;;;;;;;;
Public health;2472-3878;;;;Openventio Publishers;US;C159110408;;;;;;;;;;;
Public health action;2220-8372;;;;International Union Against Tuberculosis and Lung Disease;;C159110408;;;;;PUBLIC HEALTH ACTION;2220-8372;2220-8372;Respiratory System;;;
Public health and emergency;2518-3206;;;;AME Publishing Company;HK;C159110408;;;;;;;;;;;
Public Health and Preventive Medicine Archive;2503-2356;2303-1816;;;Udayana University;ID;C159110408;;;;;;;;;;;
Public health challenges;2769-2450;;;;Wiley;US;C159110408;;;;;;;;;Public Health Challenges;;2769-2450
Public Health Ethics;1754-9973;1754-9981;;;Oxford University Press;GB;C159110408;Public Health Ethics;1754-9973;1754-9981;"2719; 2910;";PUBLIC HEALTH ETHICS;1754-9973;1754-9981;Public, Environmental & Occupational Health | Medical Ethics;;;
Public health ethics analysis;2211-6699;2211-6680;;;Springer Nature (Netherlands);NL;C159110408;;;;;;;;;;;
Public health frontier;2227-4561;2227-457X;;;;HK;C159110408;;;;;;;;;;;
Public Health Genomics;1662-8063;1662-4246;;;Karger Publishers;CH;C159110408;Public health genomics;1662-4246;1662-8063;"2716; 2739;";PUBLIC HEALTH GENOMICS;1662-4246;1662-8063;Genetics & Heredity | Public, Environmental & Occupational Health;;;
Public health in China;2520-8365;2520-8373;;;Springer Nature;SG;C159110408;;;;;;;;;;;
Public health in practice;2666-5352;;;;Elsevier BV;GB;C159110408;Public Health in Practice;-;2666-5352;"2739; 2719; ";;;;;Public Health in Practice;;2666-5352
Public Health Nursing;0737-1209;1525-1446;;;Wiley-Blackwell;US;C159110408;Public Health Nursing;0737-1209;1525-1446;"2739; 2900;";PUBLIC HEALTH NURSING;0737-1209;1525-1446;Public, Environmental & Occupational Health | Nursing;;;
Public Health Nutrition;1368-9800;1475-2727;1368-9800;;Cambridge University Press;GB;;Public Health Nutrition;1368-9800;1475-2727;"2739; 2916; 2701;";PUBLIC HEALTH NUTRITION;1368-9800;1475-2727;Public, Environmental & Occupational Health | Nutrition & Dietetics;Public Health Nutrition;1368-9800;1475-2727
Public Health of Indonesia;2477-1570;2528-1542;;;YCAB Publisher;ID;C159110408;;;;;;;;;Public Health of Indonesia;2528-1542;2477-1570
Public health open access;2578-5001;;;;;US;C159110408;;;;;;;;;;;
Public Health Reports;1468-2877;0033-3549;;;SAGE Publishing;US;C159110408;Public Health Reports;0033-3549;-;"2739;";PUBLIC HEALTH REPORTS;0033-3549;1468-2877;Public, Environmental & Occupational Health;;;
Public health research;2050-439X;2050-4381;;;NIHR Journals Library;GB;C159110408;;;;;;;;;Public Health Research;2050-4381;2050-439X
Public Health Research;2167-7247;2167-7263;;;;US;C159110408;;;;;;;;;;;
Public Health Research & Practice;2204-2091;;;;Sax Institute;AU;C159110408;Public Health Research and Practice;-;2204-2091;"2739; 2719;";PUBLIC HEALTH RESEARCH & PRACTICE;2204-2091;2204-2091;Public, Environmental & Occupational Health;Public Health Research & Practice;;2204-2091
Public health review : international journal of public health research;2349-4158;2349-4166;;;;IN;C159110408;;;;;;;;;;;
Public health reviews;2107-6952;0301-0422;;;Springer Science+Business Media;FR;C159110408;Public Health Reviews;0301-0422;2107-6952;"2739; 2905;";PUBLIC HEALTH REVIEWS;;2107-6952;Public, Environmental & Occupational Health;Public Health Reviews;;2107-6952
PUINOVAKESMAS;2746-7430;;;;Poltekkes Kemenkes Yogyakarta;ID;C159110408;;;;;;;;;;;
Purdue journal of service learning and international engagement;2331-9135;2331-9143;;;Purdue University Press;US;C159110408;;;;;;;;;;;
Pustaka Kesehatan;2355-178X;2721-3218;;;;ID;C159110408;;;;;;;;;;;
Qai journal for healthcare quality and patient safety;2666-3848;2666-3856;;;Medknow;IN;C159110408;;;;;;;;;;;
QRB - Quality Review Bulletin;2589-3688;0097-5990;;;Elsevier BV;US;C159110408;;;;;;;;;;;
QRC advisor;0747-7384;;;;;US;C159110408;;;;;;;;;;;
Qualitative Health Research;1049-7323;1552-7557;;;SAGE Publishing;US;C159110408;Qualitative Health Research;1049-7323;-;"2739;";QUALITATIVE HEALTH RESEARCH;1049-7323;1552-7557;Information Science & Library Science | Social Sciences, Interdisciplinary | Social Sciences, Biomedical;;;
Qualitative research in medicine & healthcare;2532-2044;;;;PAGEPress (Italy);IT;C159110408;;;;;;;;;Qualitative Research in Medicine & Healthcare;;2532-2044
Quality & Safety in Health Care;1475-3898;1475-3901;;;BMJ;GB;C159110408;;;;;;;;;;;
Quality advancement in nursing education;2368-6669;;;;;CA;C159110408;;;;;;;;;Quality Advancement in Nursing Education;;2368-6669
Quality Improvement in Health Care;1225-7613;;;;;KR;C159110408;;;;;;;;;;;
Quality in Ageing and Older Adults;2042-8766;1471-7794;;;Emerald Publishing Limited;GB;C159110408;Quality in Ageing and Older Adults;1471-7794;-;"2904; 2905; 2909;";QUALITY IN AGEING AND OLDER ADULTS;1471-7794;2044-1835;Gerontology;;;
Quality in primary care;1479-1064;1479-1072;;;Radcliffe Publishing;GB;C159110408;;;;;;;;;;;
Quality management in health care;1063-8628;1550-5154;;;Lippincott Williams & Wilkins;US;C159110408;Quality Management in Health Care;1063-8628;-;"2904; 2719; 3306; 2911;";QUALITY MANAGEMENT IN HEALTH CARE;1063-8628;1550-5154;Health Care Sciences & Services;;;
Quality of Life Research;1573-2649;0962-9343;;;Springer Science+Business Media;NL;C159110408;Quality of Life Research;0962-9343;1573-2649;"2739;";QUALITY OF LIFE RESEARCH;0962-9343;1573-2649;Health Care Sciences & Services | Public, Environmental & Occupational Health;;;
Quarterly Journal of Nursing Management;2251-6603;2251-6611;;;;;C159110408;;;;;;;;;;;
Queen's nursing journal;0301-0821;;;;;GB;C159110408;;;;;;;;;;;
Rawal Medical Journal;0303-5212;0303-5212;;;Pakistan Medical Association;PK;;Rawal Medical Journal;0303-5212;-;"2700; 2900;";RAWAL MEDICAL JOURNAL;0303-5212;0303-5212;Medicine, General & Internal;;;
Real in Nursing Journal;2685-1997;2685-9068;;;;ID;C159110408;;;;;;;;;;;
Recherche en soins infirmiers;0297-2964;2271-8362;;;Association de Recherche en Soins Infirmiers;FR;C159110408;Recherche en soins infirmiers;0297-2964;-;"2700;";RECHERCHE EN SOINS INFIRMIERS;0297-2964;2271-8362;Nursing;;;
Recreation, parks, and tourism in public health;2474-1825;2474-1833;;;Indiana University Press;US;C159110408;;;;;;;;;;;
Regards croisés Afrique-Europe. Cahiers supplementaires;2749-8751;2749-8743;;;;DE;C159110408;;;;;;;;;;;
Rehabilitation Nursing;0278-4807;2048-7940;;;Lippincott Williams & Wilkins;US;C159110408;Rehabilitation Nursing;0278-4807;-;"2742; 3612; 2700; 2900;";REHABILITATION NURSING;0278-4807;2048-7940;Nursing | Rehabilitation;;;
Rehabilitation oncology;2381-2427;2381-2427;2168-3808;;;US;;Rehabilitation Oncology;2168-3808;2381-2427;"2917; 2730; 2742; 3612;";REHABILITATION ONCOLOGY;2168-3808;2381-2427;Oncology;;;
Rehabilitation process and outcome;1179-5727;;;;SAGE Publishing;GB;C159110408;;;;;;;;;Rehabilitation Process and Outcome;;1179-5727
Rehabilitation Research and Practice;2090-2867;2090-2875;;;Hindawi Publishing Corporation;GB;C159110408;Rehabilitation Research and Practice;2090-2867;2090-2875;"2742; 3612;";REHABILITATION RESEARCH AND PRACTICE;2090-2867;2090-2875;Rehabilitation;Rehabilitation Research and Practice;2090-2867;2090-2875
Rehabilitation Research, Policy, and Education;2168-6653;2168-6661;;;Springer Nature;US;C159110408;;;;;REHABILITATION RESEARCH POLICY AND EDUCATION;2168-6653;2168-6661;Rehabilitation;;;
Rehabilitation sciences;2637-594X;2637-5931;;;Science Publishing Group;US;C159110408;;;;;;;;;;;
Rehman journal of health sciences;2708-2512;2664-4630;;;;PK;C159110408;;;;;;;;;;;
Reme;1415-2762;2316-9389;;;Federal University of Minas Gerais;BR;C159110408;;;;;;;;;REME: Revista Mineira de Enfermagem;1415-2762;2316-9389
Remedial and Special Education;0741-9325;1538-4756;;;SAGE Publishing;US;C159110408;Remedial and Special Education;0741-9325;-;"2739; 3304;";REMEDIAL AND SPECIAL EDUCATION;0741-9325;1538-4756;Education, Special;;;
Renal Society of Australasia journal;1832-3804;2208-4088;;;;AU;C159110408;;;;;RENAL SOCIETY OF AUSTRALASIA JOURNAL;1832-3804;1832-3804;Nursing;;;
Reproductive Health;1742-4755;;;;Springer Science+Business Media;GB;C159110408;Reproductive Health;1742-4755;-;"2729; 2743;";REPRODUCTIVE HEALTH;;1742-4755;Public, Environmental & Occupational Health;Reproductive Health;;1742-4755
Reproductive Health Matters;1460-9576;0968-8080;;;Taylor & Francis;GB;C159110408;;;;;;;;;Reproductive Health Matters;0968-8080;1460-9576
Reproductive, Female and Child Health;2768-7228;;;;Wiley;;C159110408;;;;;;;;;;;
Rescue press;2674-001X;;;;;CH;C159110408;;;;;;;;;;;
Research & Review: Management of Cardiovascular and Orthopedic Complications;2582-5739;;;;;IN;C159110408;;;;;;;;;;;
Research & Review: Management of Emergency and Trauma Nursing;2582-0494;;;;;IN;C159110408;;;;;;;;;;;
Research and Development in Medical Education;2322-2719;;;;Tabriz University of Medical Sciences;IR;C159110408;;;;;;;;;Research and Development in Medical Education;;2322-2719
Research and reports in medicinal chemistry;2230-5238;;;;Dove Medical Press;NZ;C159110408;;;;;;;;;;;
Research and reports in transdermal drug delivery;2253-1580;;;;Dove Medical Press;NZ;C159110408;;;;;;;;;;;
Research and Reports in Tropical Medicine;1179-7282;;;;Dove Medical Press;NZ;C159110408;;;;;RESEARCH AND REPORTS IN TROPICAL MEDICINE;1179-7282;1179-7282;Medicine, Research & Experimental;Research and Reports in Tropical Medicine;;1179-7282
Research and reviews : a journal of neuroscience;2348-7925;2277-6427;;;;IN;C159110408;;;;;;;;;;;
Research and reviews : a journal of pharmaceutical science;2229-7006;;;;;IN;C159110408;;;;;;;;;;;
Research and Theory for Nursing Practice;1541-6577;1945-7286;;;Springer Science+Business Media;US;C159110408;Research and Theory for Nursing Practice;1541-6577;-;"2700; 2922;";RESEARCH AND THEORY FOR NURSING PRACTICE;1541-6577;1945-7286;Nursing;;;
Research in Autism Spectrum Disorders;1878-0237;1750-9467;;;Elsevier BV;NL;C159110408;Research in Autism Spectrum Disorders;1750-9467;-;"2738; 3203; 3204;";RESEARCH IN AUTISM SPECTRUM DISORDERS;1750-9467;1878-0237;Education, Special | Psychology, Development | Psychiatry | Rehabilitation;;;
Research in community and mental health;0192-0812;;;;Emerald Publishing Limited;GB;C159110408;;;;;;;;;;;
Research in Developmental Disabilities;1873-3379;0891-4222;;;Elsevier BV;US;C159110408;Research in Developmental Disabilities;0891-4222;-;"3203; 3204;";RESEARCH IN DEVELOPMENTAL DISABILITIES;0891-4222;1873-3379;Education, Special | Rehabilitation;;;
Research in Gerontological Nursing;1938-2464;1940-4921;;;;US;C159110408;Research in Gerontological Nursing;1940-4921;1938-2464;"2717; 2719; 2909; 2900;";RESEARCH IN GERONTOLOGICAL NURSING;1940-4921;1938-2464;Nursing;;;
Research in health science;2470-6213;2470-6205;;;;US;C159110408;;;;;;;;;;;
Research in Nursing & Health;1098-240X;0160-6891;;;Wiley-Blackwell;US;C159110408;Research in Nursing and Health;0160-6891;1098-240X;"2900;";RESEARCH IN NURSING & HEALTH;0160-6891;1098-240X;Nursing;;;
Research in pharmacy and health sciences;2455-5258;;;;;IN;C159110408;;;;;;;;;;;
Research in psychotherapy;2239-8031;2499-7552;;;PAGEPress (Italy);IT;C159110408;Research in Psychotherapy: Psychopathology, Process and Outcome;2239-8031;-;"2738; 3203;";RESEARCH IN PSYCHOTHERAPY-PSYCHOPATHOLOGY PROCESS AND OUTCOME;2239-8031;2239-8031;Psychology, Clinical;Research in Psychotherapy;2499-7552;2239-8031
Research in Social & Administrative Pharmacy;1551-7411;1934-8150;;;Elsevier BV;US;C159110408;Research in Social and Administrative Pharmacy;1551-7411;-;"3003; 3611;";RESEARCH IN SOCIAL & ADMINISTRATIVE PHARMACY;1551-7411;1934-8150;Public, Environmental & Occupational Health;;;
Research in the sociology of health care;0275-4959;1875-7936;;;Emerald Publishing Limited;NL;C159110408;;;;;;;;;;;
Research Involvement and Engagement;2056-7529;;;;BioMed Central;GB;C159110408;Research Involvement and Engagement;-;2056-7529;"3600; 3306;";;;;;Research Involvement and Engagement;;2056-7529
Research journal of drug abuse;2057-3111;;;;Herbert Publications;GB;C159110408;;;;;;;;;;;
Research journal of pharmacology and pharmacy;2572-8377;;;;;US;C159110408;;;;;;;;;;;
Research journal of women's health;2054-9865;;;;Herbert Publications;GB;C159110408;;;;;;;;;;;
Research on Child and Adolescent Psychopathology;2730-7174;2730-7166;;;Springer Nature;US;C159110408;Research on Child and Adolescent Psychopathology;2730-7166;2730-7174;"2738; 3204; ";RESEARCH ON CHILD AND ADOLESCENT PSYCHOPATHOLOGY;2730-7166;2730-7174;Psychology, Clinical | Psychology, Development;;;
Research on Social Work Practice;1552-7581;1049-7315;;;SAGE Publishing;US;C159110408;Research on Social Work Practice;1049-7315;-;"3200; 3312; 3301;";RESEARCH ON SOCIAL WORK PRACTICE;1049-7315;1552-7581;Social Work;;;
Research Reservoir - paramedical sciences;2395-4507;;;;;IN;C159110408;;;;;;;;;;;
Residential Treatment for Children & Youth;1541-0358;0886-571X;;;Haworth Press;US;C159110408;Residential Treatment for Children and Youth;0886-571X;-;"3308; 2735;";RESIDENTIAL TREATMENT FOR CHILDREN & YOUTH;0886-571X;1541-0358;Psychology, Clinical;;;
Respiratory therapy;0048-7392;;;;;US;C159110408;;;;;;;;;;;
Resuscitation;0300-9572;1873-1570;0300-9572;;Elsevier BV;NL;;Resuscitation;0300-9572;-;"2705; 2907; 2711;";RESUSCITATION;0300-9572;1873-1570;Critical Care Medicine | Emergency Medicine;;;
Resuscitation plus;2666-5204;;;;Elsevier BV;NL;C159110408;Resuscitation Plus;-;2666-5204;"2705; 2907; 2711; ";RESUSCITATION PLUS;2666-5204;2666-5204;Critical Care Medicine | Emergency Medicine;Resuscitation Plus;;2666-5204
Review Journal of Autism and Developmental Disorders;2195-7177;2195-7185;;;Springer Science+Business Media;US;C159110408;Review Journal of Autism and Developmental Disorders;2195-7177;2195-7185;"2802; 2738; 2805; 2806;";REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS;2195-7177;2195-7185;Psychology, Development;;;
Review of primary care practice and education;2613-943X;2620-5572;;;;ID;C159110408;;;;;;;;;;;
Reviews in Clinical Gerontology;1469-9036;0959-2598;;;Cambridge University Press;GB;C159110408;;;;;;;;;;;
Revista Argentina de Salud Pública;1852-8724;1853-810X;;;;;C159110408;;;;;;;;;Revista Argentina de Salud Pública;1852-8724;1853-810X
Revista Baiana de Enfermagem;0102-5430;0102-5430;2178-8650;;Universidade Federal da Bahia;BR;;Revista Baiana de Enfermagem;0102-5430;2178-8650;"2739; 2900;";;;;;Revista Baiana de Enfermagem;0102-5430;2178-8650
Revista Brasileira De Enfermagem;0034-7167;1984-0446;;;Associação Brasileira de Enfermagem;BR;C159110408;Revista brasileira de enfermagem;0034-7167;-;"2900;";REVISTA BRASILEIRA DE ENFERMAGEM;0034-7167;1984-0446;Nursing;Revista Brasileira de Enfermagem;0034-7167;1984-0446
Revista Brasileira de Farmácia Hospitalar e Serviços de Saúde;2179-5924;2316-7750;;;;BR;C159110408;;;;;;;;;Revista Brasileira de Farmácia Hospitalar e Serviços de Saúde;2179-5924;2316-7750
Revista Brasileira de Medicina do Trabalho;1679-4435;2447-0147;;;;BR;C159110408;Revista Brasileira de Medicina do Trabalho;1679-4435;2447-0147;"2737;";;;;;;;
Revista chilena de nutrición;0716-1549;0716-1549;0717-7518;;;CL;;Revista Chilena de Nutricion;0716-1549;0717-7518;"2916; 1106;";REVISTA CHILENA DE NUTRICION;0717-7518;0717-7518;Nutrition & Dietetics;;;
Revista Científica de la Sociedad Española de Enfermería Neurológica;2013-5246;2173-9153;2013-5246;;Elsevier BV;ES;;Revista Cientifica de la Sociedad Espanola de Enfermeria Neurologica;2013-5246;2173-9153;"2901;";;;;;;;
Revista Científica De La Sociedad Española De Enfermería Neurológica (english Edition);2530-299X;;;;Elsevier BV;ES;C159110408;;;;;;;;;;;
Revista Científica de Neurometria;2594-438X;;;;;BR;C159110408;;;;;;;;;;;
Revista Colombiana De Psiquiatría (english Edition);2530-3120;;;;Elsevier BV;ES;C159110408;;;;;;;;;;;
Revista cubana de enfermeria;0864-0319;1561-2961;;;;;C159110408;Revista Cubana de Enfermeria;0864-0319;1561-2961;"2900;";;;;;;;
Revista Cuidarte;2216-0973;2216-0973;2346-3414;;University of Santander;CO;;Revista Cuidarte;2216-0973;2346-3414;"2714; 2706; 2900; ";REVISTA CUIDARTE;2216-0973;2346-3414;Nursing;Revista Cuidarte;2216-0973;2346-3414
Revista cultura del cuidado enfermeria Universidad Libre Seccional Pereira;1794-5232;;;;;CO;C159110408;;;;;;;;;;;
Revista da Associação Portuguesa dos Enfermeiros Obstetras;2182-3006;1646-3625;;;;PT;C159110408;;;;;;;;;;;
Revista Da Escola De Enfermagem Da Usp;1980-220X;0080-6234;;;University of São Paulo;BR;C159110408;Revista da Escola de Enfermagem da U S P;0080-6234;-;"2900;";REVISTA DA ESCOLA DE ENFERMAGEM DA USP;0080-6234;1980-220X;Nursing;;;
Revista da Sociedade Brasileira de Enfermeiros Pediatras;1676-3793;2238-202X;;;;BR;C159110408;;;;;;;;;;;
Revista de APS;1516-7704;1809-8363;;;;BR;C159110408;;;;;;;;;;;
Revista de Enfermagem da UFPI;2238-7234;;;;Programa de Pós-Graduação Mestrado em Enfermagem da Universidade Federal do Piauí;BR;C159110408;;;;;;;;;Revista de Enfermagem da UFPI;;2238-7234
Revista de Enfermagem da Universidade Federal de Santa Maria;2179-7692;;;;Universidade Federal de Santa Maria;BR;C159110408;;;;;;;;;Revista de Enfermagem da Universidade Federal de Santa Maria;;2179-7692
Revista de Enfermagem Referência;0874-0283;0874-0283;2182-2883;;Health Sciences Research Unit: Nursing (UICISA: E);PT;;Revista de Enfermagem Referencia;0874-0283;2182-2883;"2900;";;;;;Revista de Enfermagem Referência;0874-0283;2182-2883
Revista de enfermería;1131-7957;;;;Cambridge University Press;ES;C159110408;;;;;;;;;;;
Revista de enfermería neurológica;1870-6592;;;;;MX;C159110408;;;;;;;;;;;
Revista de Logopedia, Foniatría y Audiología;0214-4603;0214-4603;1578-1712;;Elsevier BV;ES;;Revista de Logopedia, Foniatria y Audiologia;0214-4603;-;"2912; 3616;";;;;;;;
Revista De Nutricao-brazilian Journal of Nutrition;1415-5273;1415-5273;1678-9865;;Pontifícia Universidade Católica de Campinas;BR;;Revista de Nutricao;1415-5273;-;"2916; 2701;";REVISTA DE NUTRICAO-BRAZILIAN JOURNAL OF NUTRITION;1415-5273;1678-9865;Nutrition & Dietetics;;;
Revista de Pesquisa : Cuidado é Fundamental Online;2175-5361;1809-6107;;;Federal University of the State of Rio de Janeiro;BR;C159110408;;;;;REVISTA DE PESQUISA-CUIDADO E FUNDAMENTAL ONLINE;2175-5361;2175-5361;Nursing;Revista de Pesquisa : Cuidado é Fundamental Online;1809-6107;2175-5361
Revista Eletrônica de Ciência, Tecnologia e Inovação em Saúde;2675-4932;;;;;BR;C159110408;;;;;;;;;;;
Revista Eletrônica de Enfermagem;1518-1944;;;;Universidade Federal de Goiás;BR;C159110408;;;;;;;;;Revista Eletrônica de Enfermagem;;1518-1944
Revista enfermagem em novas dimensoes;0100-2724;;;;;;C159110408;;;;;;;;;;;
Revista Enfermagem UERJ;0104-3552;;;;Universidade do Estado do Rio de Janeiro;BR;C159110408;Revista Enfermagem;0104-3552;-;"2900;";;;;;Revista Enfermagem UERJ;0104-3552;2764-6149
Revista Española de Nutrición Comunitaria;1135-3074;1135-3074;2171-9713;;Grupo Aula Médica;ES;;Revista Espanola de Nutricion Comunitaria;1135-3074;-;"2916; 2701;";;;;;;;
Revista Española de Nutrición Humana y Dietética;2173-1292;2174-5145;2173-1292;;Fundación Española de Dietistas-Nutricionistas (FEDN);ES;;Revista Espanola de Nutricion Humana y Dietetica;2173-1292;2174-5145;"2916; 1106;";REVISTA ESPANOLA DE NUTRICION HUMANA Y DIETETICA;2173-1292;2174-5145;Nutrition & Dietetics;Revista Española de Nutrición Humana y Dietética;2173-1292;2174-5145
Revista Espanola De Salud Publica;1696-9820;2173-9110;1135-5727;;Ministry of Health of Spain;ES;C159110408;Revista Espanola de Salud Publica;1135-5727;-;"2700;";REVISTA ESPANOLA DE SALUD PUBLICA;1135-5727;2173-9110;Public, Environmental & Occupational Health;Revista Española de Salud Pública;1135-5727;
Revista gaúcha de enfermagem;1983-1447;0102-6933;;;Federal University of Rio Grande do Sul;BR;C159110408;Revista Gaucha de Enfermagem;0102-6933;1983-1447;"2700;";;;;;Revista Gaúcha de Enfermagem;0102-6933;1983-1447
Revista JRG de Estudos Acadêmicos;2595-1661;;;;;BR;C159110408;;;;;;;;;;;
Revista Latino-americana De Enfermagem;1518-8345;0104-1169;;;University of São Paulo;BR;C159110408;Revista Latino-Americana de Enfermagem;0104-1169;1518-8345;"2900;";REVISTA LATINO-AMERICANA DE ENFERMAGEM;1518-8345;1518-8345;Nursing;Revista Latino-Americana de Enfermagem;0104-1169;1518-8345
